Brand,Model,Riding_Style,Riding_Level,Shape,Camber_Profile,Stance,Flex,Price_USD,Powder,,,,,,,,
Rossignol,Jibsaw,All Mountain Freestyle,Intermediate-Expert,True Twin,Hybrid Camber,Centered,Medium/Soft,499,Average,,,,,,,,
Salomon,Assassin,All Mountain Freestyle,Intermediate-Expert,True Twin,Hybrid Camber,Centered,Medium,499,Average,,,,,,,,
SnoPlanks,SnoBlunt,All Mountain Freestyle,Beginner-Expert,Asymmetrical Twin,Hybrid Camber,Centered,Medium,799,Average,,,,,,,,
Soul,Samurai,All Mountain Freestyle,Intermediate-Expert,True Twin,Hybrid Rocker,Centered,Medium,649,Average,,,,,,,,
Yes,Basic,All Mountain Freestyle,Beginner-Expert,True Twin,Hybrid Camber,Centered,Medium/Soft,399,Average,,,,,,,,
Yes,Greats,All Mountain Freestyle,Beginner-Expert,Asymmetrical Twin,Hybrid Camber,Centered,Medium,549,Average,,,,,,,,
Lib Tech,Swiss Knife,Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Centered,Medium/Stiff,599,Average,,,,,,,,
Decathlon,Endzone 500,Freestyle,Beginner-Expert,True Twin,Flat to Rocker,Centered,Medium/Soft,299,Average,,,,,,,,
Gnu,Carbon Credit Asym,Freestyle,Beginner-Expert,Asymmetrical Twin,Continuous Rocker,Centered,Medium/Soft,419,Average,,,,,,,,
Gnu,Space Case,Freestyle,Beginner-Expert,Asymmetrical Twin,Hybrid Rocker,Centered,Medium,579,Average,,,,,,,,
Never Summer, Funsglinder,Freestyle,Intermediate-Expert,Asymmetrical Twin,Hybrid Rocker,Centered,Medium/Soft,519,Average,,,,,,,,
Slash,Happy Place,Freestyle,Beginner-Expert,True Twin,Hybrid Camber,Centered,Medium/Soft,399,Average,,,,,,,,
Yes,Dicey,Freestyle,Beginner-Expert,True Twin,Hybrid Camber,Centered,Medium/Soft,429,Average,,,,,,,,
Burton,3D Killroy Camber,All Mountain,Intermediate-Expert,Directional,Hybrid Camber,Setback -12.5mm,Medium/Soft,469,Average,,,,,,,,
Burton,Custom Camber,All Mountain,Intermediate-Expert,Twinish,Traditional Camber,Setback -12.5mm,Medium,659,Average,,,,,,,,
Burton,Custom X Flying V,All Mountain,Intermediate-Expert,Directional,Hybrid Rocker,Setback -12.5mm,Medium/Stiff,749,Average,,,,,,,,
Capita,Supernova,All Mountain,Advanced-Expert,Directional,Directional Camber,Setback -12.5mm,Medium,499,Average,,,,,,,,
Capita,Mercury,All Mountain,Intermediate-Expert,Directional,Hybrid Camber,Setback -12.5mm,Medium,549,Average,,,,,,,,
Capita,Indoor Survival,All Mountain,Intermediate-Expert,Directional Twin,Mostly Camber,Setback -12.5mm,Medium,549,Average,,,,,,,,
Capita,Mega Merc,All Mountain,Intermediate-Expert,Twinish,Hybrid Camber,Setback -12.5mm,Medium,799,Average,,,,,,,,
Gnu,Money,All Mountain,Beginner-Expert,Directional Twin,Hybrid Rocker,Setback -12.5mm,Medium,349,Average,,,,,,,,
Gnu,Essential Service,All Mountain,Beginner-Expert,Twinish,Hybrid Rocker,Setback -12.5mm,Medium,499,Average,,,,,,,,
Lib Tech,Skunk Ape HP,All Mountain,Beginner-Expert,Directional Twin,Hybrid Rocker,Setback -12.5mm,Medium,559,Average,,,,,,,,
Never Summer, Ripper,All Mountain,Beginner-Expert,Directional Twin,Hybrid Rocker,Setback -12.5mm,Medium,579,Average,,,,,,,,
Rossignol,Revenant,All Mountain,Beginner-Expert,Directional Twin,Hybrid Camber,Setback -12.5mm,Medium/Stiff,499,Average,,,,,,,,
Rossignol,One LF,All Mountain,Beginner-Expert,Directional Twin,Hybrid Camber,Setback -12.5mm,Medium,499,Average,,,,,,,,
Capita,Kazu Kokubo Pro,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback -12.5mm,Medium/Stiff,559,Average,,,,,,,,
Decathlon,Dreamspace,All Mountain,Beginner-Intermediate,Directional Twin,Continuous Rocker,Setback -15mm,Medium/Soft,199,Average,,,,,,,,
Nitro,Cinema,All Mountain,Beginner-Expert,Directional Twin,Hybrid Rocker,Setback -15mm,Medium/Soft,399,Average,,,,,,,,
Nitro,Highlander,All Mountain,Advanced-Expert,Tapered Directional,Traditional Camber,Setback -15mm,Medium/Stiff,549,Average,,,,,,,,
Rossignol,Angus,All Mountain,Intermediate-Expert,Directional Twin,Hybrid Camber,Setback -15mm,Medium,449,Average,,,,,,,,
Alloy,Outkome,All Mountain,Advanced-Expert,Directional Twin,Mostly Camber,Setback -20mm,Medium,499,Average,,,,,,,,
Alloy,Sniper,All Mountain,Advanced-Expert,Directional,Traditional Camber,Setback -20mm,Medium/Stiff,649,Average,,,,,,,,
Jones,Aviator 2.0,All Mountain,Advanced-Expert,Twinish,Traditional Camber,Setback -20mm,Medium/Stiff,599,Average,,,,,,,,
K2,Raygun,All Mountain,Beginner-Expert,Directional Twin,Flat to Rocker,Setback -20mm,Medium,399,Average,,,,,,,,
Lib Tech,Travis Rice Gold Member,All Mountain,Advanced-Expert,Directional,Hybrid Rocker,Setback -20mm,Medium/Stiff,749,Average,,,,,,,,
Lib Tech,Travis Rice Climax,All Mountain,Advanced-Expert,Directional,Hybrid Rocker,Setback -20mm,Medium/Stiff,969,Average,,,,,,,,
Never Summer, West,All Mountain,Intermediate-Expert,Directional,Hybrid Rocker,Setback -20mm,Medium,569,Average,,,,,,,,
Slash,Brain Storm,All Mountain,Beginner-Expert,Directional Twin,Hybrid Camber,Setback -20mm,Medium,449,Average,,,,,,,,
Weston,Range,All Mountain,Advanced-Expert,Directional,Hybrid Camber,Setback -20mm,Medium/Stiff,499,Average,,,,,,,,
Yes,Typo,All Mountain,Beginner-Expert,Directional Twin,Hybrid Camber,Setback -5mm,Medium,499,Average,,,,,,,,
Yes,Libre,All Mountain Freestyle,Beginner-Expert,Directional Twin,Hybrid Camber,Setback -5mm,Medium,369,Average,,,,,,,,
Gnu,Antigravity,All Mountain,Advanced-Expert,Tapered Directional,Mostly Camber,Setback over 20mm,Medium/Soft,479,Average,,,,,,,,
Gnu,4,All Mountain,Advanced-Expert,Tapered Directional,Mostly Camber,Setback over 20mm,Medium/Stiff,599,Average,,,,,,,,
Lib Tech,Lando Phoenix,All Mountain,Beginner-Expert,Twinish,Hybrid Rocker,Setback over 20mm,Medium/Stiff,599,Average,,,,,,,,
Lib Tech,Ejack Knife,Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Setback over 20mm,Medium/Stiff,599,Average,,,,,,,,
Yes,PRO20,Alternative Freeride,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback -15mm,Medium/Stiff,669,Excellent,,,,,,,,
Yes,420 PH,Alternative Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Setback -15mm,Medium/Stiff,699,Excellent,,,,,,,,
Jones,Hovercraft,Alternative Freeride,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback -20mm,Medium/Stiff,549,Excellent,,,,,,,,
Cardiff,Powgoda Endura Split,Alternative Freeride,Intermediate-Expert,Tapered Directional,Directional Camber,Setback -5mm,Medium,950,Excellent,,,,,,,,
Jones,Ultracraft,Alternative Freeride,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Medium/Stiff,649,Excellent,,,,,,,,
Rome ,Powder Division MT,Alternative Freeride,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Medium,459,Excellent,,,,,,,,
Salomon,HPS x Asmo,Alternative Freeride,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Medium/Stiff,799,Excellent,,,,,,,,
Capita,Spring Break,Powder,Beginner-Expert,Tapered Directional,Flat to Rocker,Centered,Soft,729,Excellent,,,,,,,,
Jones,Storm Chaser,Powder,Advanced-Expert,Tapered Directional,Flat to Rocker,Setback -12.5mm,Medium/Stiff,599,Excellent,,,,,,,,
Yes,420,Powder,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback -15mm,Medium/Stiff,499,Excellent,,,,,,,,
Burton,3D Fish,Powder,Intermediate-Expert,Tapered Directional,Flat to Rocker,Setback over 20mm,Medium,629,Excellent,,,,,,,,
Capita,Spring Break Powder 167 Night Hawk,Powder,Advanced-Expert,Tapered Directional,Flat to Rocker,Setback over 20mm,Medium/Stiff,719,Excellent,,,,,,,,
Capita,Spring Break Powder 161 Tree Hunter,Powder,Advanced-Expert,Tapered Directional,Flat to Rocker,Setback over 20mm,Medium/Stiff,749,Excellent,,,,,,,,
Capita,Spring Break Powder Pill,Powder,Intermediate-Expert,Tapered Directional,Flat to Rocker,Setback over 20mm,Medium/Stiff,899,Excellent,,,,,,,,
Capita,Spring Break Powder Glider,Powder,Intermediate-Expert,Tapered Directional,Flat to Rocker,Setback over 20mm,Medium,899,Excellent,,,,,,,,
K2,Cool Bean,Powder,Advanced-Expert,Tapered Directional,Flat to Rocker,Setback over 20mm,Medium/Stiff,469,Excellent,,,,,,,,
Korua,Tugboat,Powder,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Stiff,609,Excellent,,,,,,,,
Osin,4807,Powder,Intermediate-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,599,Excellent,,,,,,,,
Soul,Snow Wave,Powder,Advanced-Expert,Tapered Directional,Continuous Rocker,Setback over 20mm,Medium,649,Excellent,,,,,,,,
Soul,Blowe,Powder,Intermediate-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,649,Excellent,,,,,,,,
Gentemstick,Barracuda HP,Snowsurf,Advanced-Expert,Tapered Directional,Hybrid Camber,Centered,Medium/Stiff,1010,Excellent,,,,,,,,
Korua,Dart,Snowsurf,Advanced-Expert,Tapered Directional,Directional Camber,Setback -20mm,Medium/Stiff,549,Excellent,,,,,,,,
Prior,Slasher,Snowsurf,Advanced-Expert,Tapered Directional,Directional Camber,Setback -20mm,Medium/Stiff,619,Excellent,,,,,,,,
Bataleon,Surfer LTD,Snowsurf,Intermediate-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Medium,1199,Excellent,,,,,,,,
Elevated,Surf Craft Megafish,Snowsurf,Advanced-Expert,Tapered Directional,Flat to Rocker,Setback over 20mm,Medium/Stiff,849,Excellent,,,,,,,,
Gentemstick,Rocket Fish HP,Snowsurf,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Medium,1000,Excellent,,,,,,,,
Gentemstick,Rocket Fish,Snowsurf,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Medium,1000,Excellent,,,,,,,,
Moss,Snowstick 58 Swallow,Snowsurf,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Medium,980,Excellent,,,,,,,,
Nitro,Quiver Cannon 203,Snowsurf,Advanced-Expert,Tapered Directional,Mostly Camber,Setback over 20mm,Medium/Stiff,519,Excellent,,,,,,,,
Salomon,Wolle Nyvelt Fish,Snowsurf,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium,650,Excellent,,,,,,,,
Weston,Japow,Snowsurf,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,599,Excellent,,,,,,,,
Endeavor,Ranger,All Mountain,Intermediate-Expert,Directional Twin,Hybrid Camber,Centered,Medium,459,Good,,,,,,,,
Endeavor,Pioneer,All Mountain,Intermediate-Expert,Directional Twin,Hybrid Camber,Centered,Medium,559,Good,,,,,,,,
Jones,Mind Expander Twin,All Mountain,Intermediate-Expert,Directional Twin,Hybrid Camber,Centered,Medium,549,Good,,,,,,,,
Tahoe,Labs Directional Twin,All Mountain,Intermediate-Expert,Directional Twin,Hybrid Camber,Centered,Medium/Stiff,699,Good,,,,,,,,
Yes,Standard,All Mountain,Intermediate-Expert,Directional Twin,Hybrid Camber,Centered,Medium,499,Good,,,,,,,,
Yes,Basic Uninc,All Mountain,Intermediate-Expert,True Twin,Hybrid Camber,Centered,Medium,549,Good,,,,,,,,
Yes,Basic Decade,All Mountain,Intermediate-Expert,True Twin,Hybrid Camber,Centered,Medium,649,Good,,,,,,,,
Yes,Standard Uninc,All Mountain,Intermediate-Expert,Directional Twin,Mostly Camber,Centered,Medium,649,Good,,,,,,,,
Yes,Globe NSB,All Mountain,Intermediate-Expert,Directional Twin,Hybrid Camber,Centered,Medium,679,Good,,,,,,,,
Yes,Globe,All Mountain,Intermediate-Expert,Directional Twin,Hybrid Camber,Centered,Medium,699,Good,,,,,,,,
Arbor,Cask,Alternative Freeride,Intermediate-Expert,Tapered Directional,Mostly Camber,Centered,Medium/Stiff,499,Good,,,,,,,,
Endeavor,Scout,Alternative Freeride,Intermediate-Expert,Tapered Directional,Directional Camber,Centered,Medium,519,Good,,,,,,,,
Ride,Warpig,Alternative Freeride,Intermediate-Expert,Tapered Directional,Flat to Rocker,Centered,Medium,529,Good,,,,,,,,
Ride,Superpig,Alternative Freeride,Intermediate-Expert,Tapered Directional,Hybrid Camber,Centered,Medium,589,Good,,,,,,,,
Salomon,SickStick 151,Alternative Freeride,Intermediate-Expert,Tapered Directional,Hybrid Camber,Centered,Medium,649,Good,,,,,,,,
Arbor,Clovis,Freeride,Beginner-Expert,Tapered Directional,Mostly Camber,Centered,Medium,549,Good,,,,,,,,
Never Summer, Shaper Twin,Freeride,Intermediate-Expert,Tapered Directional,Hybrid Rocker,Centered,Medium,529,Good,,,,,,,,
Sims,Terry Kidwell RT2,Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Centered,Medium/Stiff,509,Good,,,,,,,,
Slash,Floater Narwal,Freeride,Advanced-Expert,Directional,Flat to Rocker,Centered,Medium/Stiff,499,Good,,,,,,,,
Rossignol,XV Sushi,Snowsurf,Intermediate-Expert,Tapered Directional,Hybrid Camber,Centered,Medium,499,Good,,,,,,,,
Korua,Otto Classic,All Mountain,Advanced-Expert,Directional,Directional Camber,Setback -10mm,Medium/Stiff,499,Good,,,,,,,,
Arbor,Crosscut Camber,Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Setback -10mm,Medium/Stiff,499,Good,,,,,,,,
Arbor,A-Frame,Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Setback -10mm,Stiff,649,Good,,,,,,,,
Arbor,Annex,Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Setback -10mm,Stiff,699,Good,,,,,,,,
DC,Supernatant,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback -10mm,Medium/Stiff,499,Good,,,,,,,,
Yes,Pick Your Line,Freeride,Intermediate-Expert,Tapered Directional,Hybrid Camber,Setback -10mm,Medium/Stiff,599,Good,,,,,,,,
Borealish,Tundra,All Mountain,Beginner-Expert,Directional Twin,Hybrid Camber,Setback -12.5mm,Medium,579,Good,,,,,,,,
Burton,Territory Manager,All Mountain,Advanced-Expert,Tapered Directional,Directional Camber,Setback -12.5mm,Medium/Stiff,659,Good,,,,,,,,
Capita,Warpspeed,All Mountain,Advanced-Expert,Directional,Directional Camber,Setback -12.5mm,Medium/Stiff,599,Good,,,,,,,,
Rossignol,One,All Mountain,Beginner-Expert,Twinish,Hybrid Camber,Setback -12.5mm,Medium,549,Good,,,,,,,,
Cardiff,Lynx,All Mountain,Beginner-Expert,Tapered Directional,Hybrid Camber,Setback -15mm,Medium,560,Good,,,,,,,,
Never Summer, Snowtrooper,All Mountain,Beginner-Expert,Twinish,Hybrid Rocker,Setback -15mm,Medium/Soft,599,Good,,,,,,,,
Nitro,Dropout,All Mountain,Advanced-Expert,Directional,Mostly Camber,Setback -15mm,Medium,499,Good,,,,,,,,
Cardiff,Goat,Freeride,Intermediate-Expert,Tapered Directional,Hybrid Camber,Setback -15mm,Medium,750,Good,,,,,,,,
Salomon,Super 8,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback -15mm,Medium,449,Good,,,,,,,,
Cardiff,Crane,All Mountain,Intermediate-Expert,Tapered Directional,Hybrid Camber,Setback -20mm,Medium,749,Good,,,,,,,,
Decathlon,Endzone Park and Ride,All Mountain,Intermediate-Expert,Directional Twin,Hybrid Camber,Setback -20mm,Medium,299,Good,,,,,,,,
Gnu,Billy Goat,All Mountain,Advanced-Expert,Directional,Mostly Camber,Setback -20mm,Medium,619,Good,,,,,,,,
K2,Manifest,All Mountain,Intermediate-Expert,Twinish,Hybrid Camber,Setback -20mm,Medium/Stiff,529,Good,,,,,,,,
Never Summer, Heritage,All Mountain,Intermediate-Expert,Directional,Hybrid Rocker,Setback -20mm,Medium/Stiff,559,Good,,,,,,,,
Niche,Story,All Mountain,Beginner-Expert,Directional,Hybrid Rocker,Setback -20mm,Medium/Stiff,569,Good,,,,,,,,
Ride,Wild Life,All Mountain,Intermediate-Expert,Directional,Directional Camber,Setback -20mm,Medium,429,Good,,,,,,,,
Ride,Shadowban,All Mountain,Beginner-Expert,Directional Twin,Hybrid Camber,Setback -20mm,Medium,499,Good,,,,,,,,
Ride,Algorhythm,All Mountain,Intermediate-Expert,Directional Twin,Hybrid Camber,Setback -20mm,Medium,599,Good,,,,,,,,
Rossignol,Templar,All Mountain,Beginner-Intermediate,Twinish,Hybrid Camber,Setback -20mm,Medium/Soft,399,Good,,,,,,,,
Rossignol,Resurgence,All Mountain,Beginner-Expert,Twinish,Hybrid Camber,Setback -20mm,Medium,519,Good,,,,,,,,
Borealish,Drakkar,Alternative Freeride,Intermediate-Expert,Tapered Directional,Hybrid Camber,Setback -20mm,Medium/Stiff,209,Good,,,,,,,,
K2,Joy Driver,Alternative Freeride,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback -20mm,Medium/Stiff,599,Good,,,,,,,,
Korua,Bullet Train,Alternative Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Setback -20mm,Medium/Stiff,699,Good,,,,,,,,
Korua,Tranny Finder Plus,Alternative Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback -20mm,Medium,799,Good,,,,,,,,
Ride,Peace Seeker,Alternative Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback -20mm,Medium/Stiff,599,Good,,,,,,,,
Burton,First Cut,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback -20mm,Stiff,559,Good,,,,,,,,
Burton,Sensei,Freeride,Advanced-Expert,Directional,Traditional Camber,Setback -20mm,Medium/Stiff,649,Good,,,,,,,,
K2,Broadcast,Freeride,Intermediate-Expert,Tapered Directional,Hybrid Camber,Setback -20mm,Medium,449,Good,,,,,,,,
K2,Alchemist,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback -20mm,Medium/Stiff,699,Good,,,,,,,,
Never Summer, Chairman,Freeride,Intermediate-Expert,Tapered Directional,Hybrid Rocker,Setback -20mm,Medium/Stiff,599,Good,,,,,,,,
Never Summer, Proto Fr,Freeride,Advanced-Expert,Tapered Directional,Hybrid Rocker,Setback -20mm,Medium/Stiff,619,Good,,,,,,,,
Prior,Khyber,Freeride,Intermediate-Expert,Tapered Directional,Hybrid Camber,Setback -20mm,Medium,739,Good,,,,,,,,
Ride,Smokescreen,Freeride,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback -20mm,Stiff,479,Good,,,,,,,,
Ride,Berzerker,Freeride,Intermediate-Expert,Tapered Directional,Directional Camber,Setback -20mm,Medium/Stiff,529,Good,,,,,,,,
Ride,Mtnpig,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback -20mm,Medium/Stiff,599,Good,,,,,,,,
Ride,Timeless,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback -20mm,Stiff,649,Good,,,,,,,,
Rome,Ravine,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback -20mm,Medium,529,Good,,,,,,,,
Rome ,Ravine Select,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback -20mm,Medium/Stiff,629,Good,,,,,,,,
Rossignol,Krypto,Freeride,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback -20mm,Medium/Stiff,499,Good,,,,,,,,
Salomon,Speedway,Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Setback -20mm,Medium,599,Good,,,,,,,,
Season,Aero,Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Setback -20mm,Medium,549,Good,,,,,,,,
Slash,Straight Narwal,Freeride,Beginner-Expert,Directional,Hybrid Camber,Setback -20mm,Medium,499,Good,,,,,,,,
Stone,Natural,Freeride,Advanced-Expert,Tapered Directional,Traditional Camber,Setback -20mm,Medium/Stiff,329,Good,,,,,,,,
Tahoe,Labs Directional,Freeride,Intermediate-Expert,Tapered Directional,Hybrid Camber,Setback -20mm,Medium/Stiff,749,Good,,,,,,,,
Weston,Ridgeline,Freeride,Intermediate-Expert,Tapered Directional,Hybrid Camber,Setback -20mm,Medium,599,Good,,,,,,,,
Korua,Otto Plus,All Mountain,Advanced-Expert,Directional,Directional Camber,Setback -5mm,Medium,849,Good,,,,,,,,
Burton,Cartographer,All Mountain,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium,469,Good,,,,,,,,
Jones,Explorer,All Mountain,Beginner-Expert,Directional,Hybrid Camber,Setback over 20mm,Medium,449,Good,,,,,,,,
Jones,Frontier,All Mountain,Beginner-Expert,Directional,Hybrid Camber,Setback over 20mm,Medium/Stiff,489,Good,,,,,,,,
Lib Tech,Dynamo,All Mountain,Advanced-Expert,Tapered Directional,Mostly Camber,Setback over 20mm,Medium,489,Good,,,,,,,,
Lib Tech,Magic BM,All Mountain,Beginner-Expert,Directional,Hybrid Rocker,Setback over 20mm,Medium,699,Good,,,,,,,,
Loaded,Algernon,All Mountain,Advanced-Expert,Directional Twin,Hybrid Camber,Setback over 20mm,Medium/Stiff,675,Good,,,,,,,,
Sims,Tom Sims,All Mountain,Intermediate-Expert,Directional,Hybrid Camber,Setback over 20mm,Medium/Stiff,599,Good,,,,,,,,
Burton,One-Hitter,Alternative Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,499,Good,,,,,,,,
